source,reprint,full_text,day_manual,num_chron_refs,lang_orig,any_date,writing_start_month,written,dubious,dated_day,type,cancelled,reg_section,posthumous,published,_id,ent_num,dated,french_title,scraped,month_combined,more_info,english_title,month_manual,spanish_title,pub_day,year_manual,writing_start_day,writing_end_day,writing_end_month,writing_end_year,notes,writing_end_approx,Chronicle_OCR,auth,translation,dated_month,day_combined,dated_year,pub_month,pub_year,writing_start_year,title,ent_id,Misc_Txt_Index,writing_start_approx,link,german_title,M_involved,year_combined,chron_refs,sampled
"MEW 21:392-401, titled as at head.",,"Decay of feudalism and rise of national states. [G] Über den Verfall des Feudalismus und das Aufkommen der Bourgeoisie. (W) Prob end of 1884; unfinished ms; n/t. Prob written in connection with E’s planned revision of his #E579 (The peasant war in Germany). (P/P) 1941, in a brochure (ST/E67). (S) MEW 21:392-401, titled as at head. (Tr) ST/E48 (PWG), 210; titled as at head. ->84:57.",,0,,0,,Prob end of 1884; unfinished ms; n/t. Prob written in connection with E’s planned revision of his #E579 (The peasant war in Germany).,,,,,E,"1941, in a brochure (ST/E67).",,ObjectId(630af2b05e934cb195acac4b),210,,,,,,,,,,,,,,,,,,,"ST/E48 (PWG), 210; titled as at head. ->84:57.",,,,,,,Decay of feudalism and rise of national states.,E0210,,,,Über den Verfall des Feudalismus und das Aufkommen der Bourgeoisie.,,,,
,ST/ME18 (FIWI) 129 (“Windham’s defeat’’); ST/M58 (OCM) 255 (do.).,"The defeat of Windham. (Untitled article] |E] (W) 1858: Feb 2. (P) Feb 20, in NYDT, #5253, p. 4de. Lead article; n/s. (Re) ST/ME18 (FIWI) 129 (“Windham’s defeat’’); ST/M58 (OCM) 255 (do.). (++) In MEW 12:382-87. —Title at head is from M’s workbook. -*58:11.",,1,,0,,1858: Feb 2.,,,"[""Journalism""]",,E,,"Feb 20, in NYDT, #5253, p. 4de. Lead article; n/s.",ObjectId(630af2b05e934cb195acac50),215,,,true,,In MEW 12:382-87. —Title at head is from M’s workbook. -*58:11.,,,,,,,,,,,,,,,,,,,,,The defeat of Windham. (Untitled article] |E],E0215,,,,,,,"[""rec5Hld1CMjV6i1lB""]",true
MECW 13:201 (see note below).,ST/M28 (EQ) 360.,"The exploits in the Baltic and Black Seas—Anglo-French system of operations. [E] (W) 1854: May 22. (D) May 23. (P) June 9, in NYDT, #4101, p. 6ef. Signed. — May 27, in PP titled “The war.” (S) MECW 13:201 (see note below). (Re) ST/M28 (EQ) 360. (++) In MEW 10:240-46. —MECW gives the PP text, with notes on variations from the NYDT. -*54:24,28.",,0,,0,,1854: May 22.,,,,,E,,"June 9, in NYDT, #4101, p. 6ef. Signed. — May 27, in PP titled “The war.”",ObjectId(630af2b05e934cb195acac80),258,May 23.,,,,"In MEW 10:240-46. —MECW gives the PP text, with notes on variations from the NYDT. -*54:24,28.",,,,,,,,,,,,,,,,,,,,,The exploits in the Baltic and Black Seas—Anglo-French system of operations.,E0258,,,,,,,,
MECW 16:332.,,"Fighting at last. |EJ (W) 1859: May c.24. (P) June 6, in NYDT, #5655, p. 4cde. Lead article; n/s. (S) MECW 16:332. (++) In MEW 13:344-49. —First sentence obviously added by the NYDT. -> 59:45.",,0,,0,,1859: May c.24.,,,,,E,,"June 6, in NYDT, #5655, p. 4cde. Lead article; n/s.",ObjectId(630af2b05e934cb195acac97),279,,,,,In MEW 13:344-49. —First sentence obviously added by the NYDT. -> 59:45.,,,,,,,,,,,,,,,,,,,,,Fighting at last. |EJ,E0279,,,,,,,,
"MEGA I, 4:409-53 (complete); MEW 2:604-10 (only Introduction Register: #E296, “French Communism” [Einleitung] and Afterword (Nachwort]).",,"A fragment of Fourier’s on trade. |G] Ein Fragment Fouriers über den Handel. (W) 1845: latter half (says MECW); Apr to July M (says MEW). (P) 1846, in the Deutsches Bürgerbuch für 1846 (Zweiter Jahrgang), Mannheim. (S) MEGA I, 4:409-53 (complete); MEW 2:604-10 (only Introduction Register: #E296, “French Communism” [Einleitung] and Afterword (Nachwort]). (Tr) MECW 4:613 (complete). (++) Originally intended to be part of the project represented by #M659, q.v. —Most of this piece is E’s trans into German of Fourier's De trois unités externes, in condensed and paraphrased form. In MECW, for example, Engels' intro and conclusion comprise pages 613-15 and 641-44 only. -*45:5.",,0,,0,,1845: latter half (says MECW); Apr to July M (says MEW).,,,,,E,,"1846, in the Deutsches Bürgerbuch für 1846 (Zweiter Jahrgang), Mannheim.",ObjectId(630af2b05e934cb195acaca2),288,,,,,"Originally intended to be part of the project represented by #M659, q.v. —Most of this piece is E’s trans into German of Fourier's De trois unités externes, in condensed and paraphrased form. In MECW, for example, Engels' intro and conclusion comprise pages 613-15 and 641-44 only. -*45:5.",,,,,,,,,,,,,,MECW 4:613 (complete).,,,,,,,A fragment of Fourier’s on trade. |G] Ein Fragment Fouriers über den Handel.,E0288,,,,,,,,
MEW 19:474518.,,"The Frankish epoch. [G] Fränkische Zeit. (W) 1881-1882; unpubd ms notes. (P/P) 1952, in ST/E70. (S) MEW 19:474518. (++) These notes comprise three unnumbered sections as follows: • A. The transformation in the relations of landownership among the Merovingians and Carolingians. [Die Umwälzung der Grundbesitzverhältnisse unter Merowingern und Karolingern). • B. Gau [tribal district] organization and military organization. [Gauund Heerverfassung.] • C. Note: The Frankish dialect. [Anmerkung: Der fränkische Dialekt.] —* 81:2.",,0,,0,,1881-1882; unpubd ms notes.,,,,,E,"1952, in ST/E70.",,ObjectId(630af2b05e934cb195acaca3),289,,,,,These notes comprise three unnumbered sections as follows: • A. The transformation in the relations of landownership among the Merovingians and Carolingians. [Die Umwälzung der Grundbesitzverhältnisse unter Merowingern und Karolingern). • B. Gau [tribal district] organization and military organization. [Gauund Heerverfassung.] • C. Note: The Frankish dialect. [Anmerkung: Der fränkische Dialekt.] —* 81:2.,,,,,,,,,,,,,,,,,,,,,The Frankish epoch.,E0289,,,,Fränkische Zeit.,,,,
"MEGA I, 2:454; MECW 3:414.",,"French communism. |E] (D) 1844: Jan 28. (P) Feb 3, in the New Moral World, as a correction to #E808; in the form of a letter to the editor. Signed. (S) MEGA I, 2:454; MECW 3:414. (++) In MEW Eb.2:322. ->44:5,7.",,0,,1,,,,28,,,E,,"Feb 3, in the New Moral World, as a correction to #E808; in the form of a letter to the editor. Signed.",ObjectId(630af2b05e934cb195acacab),296,1844: Jan 28.,,,Jan,"In MEW Eb.2:322. ->44:5,7.",,,,,,,,,,,,,,,Jan,28,1844,,,,French communism. |E],E0296,,,,,,1844,,
MEW 1:446-53.,,"Friedrich Wilhelm IV, king of Prussia. [G] Friedrich Wilhelm IV., König von Preussen. (W) 1842: ca. Oct. (P) 1843: July, in ST/31. Signed: F.O. [Friedrich Oswald]. (S) MEW 1:446-53. (Tr) MECW 2:360 (“Frederick William . . .“). —> 42:28; 43:19.",,2,,0,,1842: ca. Oct.,,,,,E,,"1843: July, in ST/31. Signed: F.O. [Friedrich Oswald].",ObjectId(630af2b05e934cb195acacae),299,,,true,,,,,,,,,,,,,,,,MECW 2:360 (“Frederick William . . .“). —> 42:28; 43:19.,,,,,,,"Friedrich Wilhelm IV, king of Prussia.",E0299,,,,"Friedrich Wilhelm IV., König von Preussen.",,,"[""reczZg2SbbD69VaWz"",""recJpb7VVHHRtvxZn""]",
"ST/ME4 (ANAC) 194, in Appendix; MECW 18:3.",,"{D&A} Abensberg. [E] (W) 1857: betw July 11 and Aug 10. (P) 1858, in NAC 1:29. N/s. (S) ST/ME4 (ANAC) 194, in Appendix; MECW 18:3. (++) In a MEW ed note only, MEW 14:717 n.50. This may be a much shortened version; see discussion in ST/ME4 (ANAC) 47. —MECW accepts E’s authorship.",,0,,0,,1857: betw July 11 and Aug 10.,true,,,,E,,"1858, in NAC 1:29. N/s.",ObjectId(630af2b05e934cb195acacb0),3,,,,,"In a MEW ed note only, MEW 14:717 n.50. This may be a much shortened version; see discussion in ST/ME4 (ANAC) 47. —MECW accepts E’s authorship.",,,,,,,,,,,,,,,,,,,,,Abensberg.,E0003,,,,,,,,
MEW 5:463-80.,,"From Paris to Bern. |G] Von Paris nach Bern. (W) 1848: Oct D to Nov; unfinished ms. (P/P) 1898: in the Neue Zeit, Bd. 1, no. 1-2. (S) MEW 5:463-80. (Tr) MECW 7:511. (++) E originally called the ms “From Paris to Geneva,” but then he went beyond Geneva. —Section I is titled “Seine und Loire”; section 2, “Burgund.” -> 48:68.",,0,,0,,1848: Oct D to Nov; unfinished ms.,,,,,E,"1898: in the Neue Zeit, Bd. 1, no. 1-2.",,ObjectId(630af2b05e934cb195acacb3),301,,,,,"E originally called the ms “From Paris to Geneva,” but then he went beyond Geneva. —Section I is titled “Seine und Loire”; section 2, “Burgund.” -> 48:68.",,,,,,,,,,,,,,MECW 7:511.,,,,,,,From Paris to Bern. |G] Von Paris nach Bern.,E0301,,,,,,,,
"ST/ME17 (Cor/It) 518, giving the French original only; ST/ME7 (Ausg.Br.) 562, French and Italian texts both.",,"The future Italian revolution and the socialist party. [Letter to Turati.] [Fr] (W) 1894: Jan 26, as a letter to F. Turati, in French. N/t. (D) Jan 26, in the Critica Sociale publ, not in E’s ms. (P) Feb 1, in Critica Sociale, in Italian, titled “La futura rivoluzione italiana e il partito socialista.” Signed. For this Italian text (transd by Turati with slight changes), see ST/ME58 (Scr/It) 170. —July 12, in German, in the Sozialdemokrat (Berlin), titled “Friedrich Engels über die Lage in Italien” [FE on the situation in Italy]. (S) ST/ME17 (Cor/It) 518, giving the French original only; ST/ME7 (Ausg.Br.) 562, French and Italian texts both. (Tr) ME.SW 3:453, titled as at head; ST/ME60 (SC) 468. (++) In MEW 22:43942, transd from French ms. -» 94:4,12,30.",,0,,0,,"1894: Jan 26, as a letter to F. Turati, in French. N/t.",,,,,E,,"Feb 1, in Critica Sociale, in Italian, titled “La futura rivoluzione italiana e il partito socialista.” Signed. For this Italian text (transd by Turati with slight changes), see ST/ME58 (Scr/It) 170. —July 12, in German, in the Sozialdemokrat (Berlin), titled “Friedrich Engels über die Lage in Italien” [FE on the situation in Italy].",ObjectId(630af2b05e934cb195acacc6),319,"Jan 26, in the Critica Sociale publ, not in E’s ms.",,,,"In MEW 22:43942, transd from French ms. -» 94:4,12,30.",,,,,,,,,,,,,,"ME.SW 3:453, titled as at head; ST/ME60 (SC) 468.",,,,,,,The future Italian revolution and the socialist party. [Letter to Turati.],E0319,,,,,,,,
MECW 17:471.,,"Garibaldi’s progress. [E] (W) 1860: Sep c.l. (P) Sep 21, in NYDT, #6056, p. 4cd. Lead article; n/s. (S) MECW 17:471. (++) In MEW 15:150-54. -»60:48.",,0,,0,,1860: Sep c.l.,,,,,E,,"Sep 21, in NYDT, #6056, p. 4cd. Lead article; n/s.",ObjectId(630af2b05e934cb195acaccc),323,,,,,In MEW 15:150-54. -»60:48.,,,,,,,,,,,,,,,,,,,,,Garibaldi’s progress.,E0323,,,,,,,,
MECW 12:430.,ST/M28 (EQ) 153.,"The holy war. (EJ (W) 1853: Oct c.27. (P) Nov 15, in NYDT, #3925, p. 4cd. Lead article; n/s. (S) MECW 12:430. (Re) ST/M28 (EQ) 153. (++) In MEW 9:442-46. —*53:44.",,0,,0,,1853: Oct c.27.,,,,,E,,"Nov 15, in NYDT, #3925, p. 4cd. Lead article; n/s.",ObjectId(630af2b05e934cb195acacf3),356,,,,,In MEW 9:442-46. —*53:44.,,,,,,,,,,,,,,,,,,,,,The holy war. (EJ,E0356,,,,,,,,
MEW 19:91-95.,,"In Italy. [G] Aus Italien. (W) 1877: betw Mar 6 and Mar 14. (P) Mar 16, in Vorwärts. Signed. (S) MEW 19:91-95. (Tr) ST/ ME3 (AAS) 154; titled as at head. -> 77:10.",,0,,0,,1877: betw Mar 6 and Mar 14.,,,,,E,,"Mar 16, in Vorwärts. Signed.",ObjectId(630af2b05e934cb195acad06),373,,,,,,,,,,,,,,,,,,,ST/ ME3 (AAS) 154; titled as at head. -> 77:10.,,,,,,,In Italy.,E0373,,,,Aus Italien.,,,,
MEW 18:322-25.,,"The International and the “Neue.” [G] Die Internationale und der “Neue.” (D) 1873: May 2. (P) May 10, in the Volksstaat. N/s. (S) MEW 18:322-25. (++) The “Neue” refers to the Lassallean organ Neuer Social-Demokrat. -> 73:27.",,0,,1,,,,2,,,E,,"May 10, in the Volksstaat. N/s.",ObjectId(630af2b05e934cb195acad0e),380,1873: May 2.,,,May,The “Neue” refers to the Lassallean organ Neuer Social-Demokrat. -> 73:27.,,,,,,,,,,,,,,,May,2,1873,,,,The International and the “Neue.”,E0380,,,,Die Internationale und der “Neue.”,,1873,,
MECW 17:425.,,"British defenses. [E] (W) 1860: July c.24. (P) Aug 10, in NYDT, #6020, p. 4de. Lead article; n/s. (S) MECW 17:425. (++) In MEW 15:93-97. -» 60:43.",,0,,0,,1860: July c.24.,,,,,E,,"Aug 10, in NYDT, #6020, p. 4de. Lead article; n/s.",ObjectId(630af2b05e934cb195acabca),101,,,,,In MEW 15:93-97. -» 60:43.,,,,,,,,,,,,,,,,,,,,,British defenses.,E0101,,,,,,,,
MEW 22:369-99.,,"Can Europe disarm? [G] Kann Europa abrüsten? (W) 1893: Feb M. (P) Mar 1-10, in Vorwärts, in 8 installs. —Mar D, as a pamphlet (ST/E30) with a foreword [Vorwort] dated Mar 28. —Mar 20-30, in Der Wähler, in 8 installs. (S) MEW 22:369-99. (Tr) ST/ 29 (Henderson) 2:810. (++) In a letter E remarked that he did not like the title but could think of nothing better. -> 93:12, 19; 94:4.",,0,,0,,1893: Feb M.,,,,,E,,"Mar 1-10, in Vorwärts, in 8 installs. —Mar D, as a pamphlet (ST/E30) with a foreword [Vorwort] dated Mar 28. —Mar 20-30, in Der Wähler, in 8 installs.",ObjectId(630af2b05e934cb195acabde),118,,,,,"In a letter E remarked that he did not like the title but could think of nothing better. -> 93:12, 19; 94:4.",,,,,,,,,,,,,,ST/ 29 (Henderson) 2:810.,,,,,,,Can Europe disarm?,E0118,,,,Kann Europa abrüsten?,,,,
,,"Charles Albert’s betrayal. [G] (W) 1848: Aug 16. (P) Aug 17, in NRZ. N/s. (Tr) MECW 7:388-89. (++) Not in MEW. -> 48:52.",,0,,0,,1848: Aug 16.,,,,,E,,"Aug 17, in NRZ. N/s.",ObjectId(630af2b05e934cb195acabf3),135,,,,,Not in MEW. -> 48:52.,,,,,,,,,,,,,,MECW 7:388-89.,,,,,,,Charles Albert’s betrayal.,E0135,,,,,,,,
"MEGA I, 6:576, title + “(Adresse de la société des Fraternal democrats aux ouvriers de la Grande-Bretagne et d'Irlande).“",,"The Chartist movement. [Fr] Mouvement Chartiste. (W) 1848: Jan 9. (P) Jan 10. in La Réforme. (S) MEGA I, 6:576, title + “(Adresse de la société des Fraternal democrats aux ouvriers de la Grande-Bretagne et d'Irlande).“ (Tr) MECW 6:466-67, title + bracketed “[The Fraternal Democrats to the working classes of Great Britain and Ireland].“ (++) Not in MEW. —Mostly trans of an address adopted by the Fraternal Democrats. -> 48:5.",,0,,0,,1848: Jan 9.,,,,,E,,Jan 10. in La Réforme.,ObjectId(630af2b05e934cb195acabf9),140,,Mouvement Chartiste.,,,Not in MEW. —Mostly trans of an address adopted by the Fraternal Democrats. -> 48:5.,,,,,,,,,,,,,,"MECW 6:466-67, title + bracketed “[The Fraternal Democrats to the working classes of Great Britain and Ireland].“",,,,,,,The Chartist movement.,E0140,,,,,,,,
,,"The closing of the German frontier.— The empire.—The council of war. [G] (D) 1848: Dec 1. (P) Dec 5, in NRZ. N/s. (Tr) MECW 8:116-18. (++) Not in MEW. -> 48:82.",,0,,1,,,,1,,,E,,"Dec 5, in NRZ. N/s.",ObjectId(630af2b05e934cb195acabff),146,1848: Dec 1.,,,Dec,Not in MEW. -> 48:82.,,,,,,,,,,,,,,MECW 8:116-18.,Dec,1,1848,,,,The closing of the German frontier.— The empire.—The council of war.,E0146,,,,,,1848,,
ST/E15 (EMC) 29.,,"Company drill. [E] (W) 1861: Apr M. (P) Apr 20, in the Volunteer Journal. Signed: F.E. (S) ST/E15 (EMC) 29. (++) In MEW 15:270—74. -*61:19.",,0,,0,,1861: Apr M.,,,,,E,,"Apr 20, in the Volunteer Journal. Signed: F.E.",ObjectId(630af2b05e934cb195acac08),153,,,,,In MEW 15:270—74. -*61:19.,,,,,,,,,,,,,,,,,,,,,Company drill.,E0153,,,,,,,,
MEW 5:185-88.,,"Conciliationist debate. [G] Vereinbarungsdebatte. (D) 1848: July 8. (P) July 9, in NRZ. N/s. (S) MEW 5:185-88. (Tr) MECW 7:195 (“The agreement debate’’). -> 48:44. For the meaning of the term conciliationist as used in the titles of articles from the NRZ during the revolution of 1848, see *Vereinbarung-policy in vol. 3, the Glossary.",,0,,1,,,,8,,,E,,"July 9, in NRZ. N/s.",ObjectId(630af2b05e934cb195acac09),154,1848: July 8.,,,Jul,,,,,,,,,,,,,,,"MECW 7:195 (“The agreement debate’’). -> 48:44. For the meaning of the term conciliationist as used in the titles of articles from the NRZ during the revolution of 1848, see *Vereinbarung-policy in vol. 3, the Glossary.",Jul,8,1848,,,,Conciliationist debate.,E0154,,,,Vereinbarungsdebatte.,,1848,,
"MEW 22:408-9, after the Protokoll text.",,"Concluding speech at the International Socialist Workers Congress in Zurich. |G] Schlussrede auf dem Internationalen Sozialistischen Arbeiterkongress in Zürich. (D) 1893: Aug 12, in German, as E closed the congress as honorary chairman. (P) Aug 15, in Vorwärts; Sep 1, in the Arbeiter-Ztg (Vienna), slightly shortened; and many other papers. —Sep 2, in French, in Le Socialiste, slightly different in text and garbled in one place. —1894: in the Protokoll (Proceedings) of the congress, Zurich. (S) MEW 22:408-9, after the Protokoll text. (Tr) ST/ E10 (E&L/Cor) 3:282, translating the French of ST/E9 (E&L/Cor) 3:308; both have the speech say “we must abandon argument..—which is the exact opposite of the German text and of the sense; a “not” is omitted. —► 93:40.",,0,,0,,,,,,,E,,"Aug 15, in Vorwärts; Sep 1, in the Arbeiter-Ztg (Vienna), slightly shortened; and many other papers. —Sep 2, in French, in Le Socialiste, slightly different in text and garbled in one place. —1894: in the Protokoll (Proceedings) of the congress, Zurich.",ObjectId(630af2b05e934cb195acac16),166,"1893: Aug 12, in German, as E closed the congress as honorary chairman.",,,,,,,,,,,,,,,,,,"ST/ E10 (E&L/Cor) 3:282, translating the French of ST/E9 (E&L/Cor) 3:308; both have the speech say “we must abandon argument..—which is the exact opposite of the German text and of the sense; a “not” is omitted. —► 93:40.",,,,,,,Concluding speech at the International Socialist Workers Congress in Zurich. |G] Schlussrede auf dem Internationalen Sozialistischen Arbeiterkongress in Zürich.,E0166,,,,,,,,
