id,full_name,short_names,last_name,first_name,gabriel_desc,desc,glossary_entry,glossary_desc,mega_digital_url,mega_digital_url2,category,birth,death,nationality_full,nationality,active_in,born,orgs,link,link2,link2_note,Chronicle_Interaction,num_interactions,Chronicle_OCR 2,Chronicle_About,Notebooks_Marx,num_nb,num_pages_cumulative,ME_Library_Books_autostart,chronicle_letters_link,letters_chronicle_2,letters_chronicle_3,Notebooks_Texts,Notebooks_Texts_manual,ME_Register,Chronicle_Yearly,Chronicle_Yearly 2,chronicle_where,chronicle_published_in,MECW_Letters,ME_Register_auto,Chronicle_Yearly 3,Chronicle_Yearly 4,Chronicle_Yearly 5,Chronicle_Yearly 6,interaction_prop,num_interactions_marx,marx_interaction_prop,Padover_Letters,Padover_Letters 2,m_first_meeting_date,m_first_meeting_link,m_first_meeting_notes,m_first_meeting_year,num_letters_from_m,Geldsystem,Associates,Proudhon_Cahiers,Num_About,Imported table,N0_Nietzsche_Books_Read,N0_Nietzsche_Library,B0_Bastiat_Correspondence,JSM00_Letters
Adams_Charles Francis,,,Adams,Charles Francis,"Lawyer, U.S. ambassador to Great Britain during Abraham Lincoln's administration, son of the sixth U.S. president, John Quincy Adams.",,,,,,Person,,,American,American,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Adams_Henry,,,Adams,Henry,,,,,,,Person,,,American,American,,,,,,,,0,,,1685_The Anglo-Saxon Courts of Law,1,11,,,,,,150_Adams_Henry_The Anglo-Saxon Courts of Law,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Adams_William Bridges,,,Adams,William Bridges,,,,,,,Person,,,,,,,,,,,,0,,,,0,0,"""3_Roads and rails and their sequences, physical and moral""",,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,1871_Adams
Adamson_Robert,,,Adamson,Robert,,,,,,,Person,,,,,,,,,,,,0,,,,0,0,"""4_Roger Bacon: the philosophy of science in the Middle Ages. An address. Introductory to the session 1876-7, in the department of arts, science, and law, at the Owens College, Manchester""",,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Addison_J.,,,Addison,J.,,,,,,,Person,,,,,,,,,,,,0,,,,0,0,,,,,,636_Addison_J._Cato. A tragedy,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Adler_Emma,,,Adler,Emma,,,,,,,Person,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,"3475_Engels_Emma Adler, 3867_Engels_Emma Adler",,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Adler_Georg,,,Adler,Georg,,,,,,,Person,,,,,,,,,,,,0,,,,0,0,6_Die Geschichte der ersten sozialpolitischen Arbeiter- kenden Theorieen. Ein Beitrag zur Entwickelungsgeschichte der sozialen Frage,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Adler_Viktor,Viktor Adler,['V. Adler'],Adler,Viktor,"Austrian journalist, leader of the Austrian Social Democrats, and a close associate of Engels",socialist leader,,,,,Person,,,Austrian,German,,Prague,,,,,,0,,,,0,0,,,,,,,,,,,,"3907_Engels_Victor Adler, 3886_Engels_Victor Adler, 3878_Engels_Victor Adler, 3874_Engels_Victor Adler, 3865_Engels_Victor Adler, 3863_Engels_Victor Adler, 3857_Engels_Victor Adler, 3826_Engels_Victor Adler, 3821_Engels_Victor Adler, 3792_Engels_Victor Adler, 3789_Engels_Victor Adler, 3776_Engels_Victor Adler, 3754_Engels_Victor Adler, 3744_Engels_Victor Adler, 3638_Engels_Victor Adler, 3627_Engels_Victor Adler, 3624_Engels_Victor Adler, 3613_Engels_Victor Adler, 3607_Engels_Victor Adler, 3567_Engels_Victor Adler, 3535_Engels_Victor Adler, 3474_Engels_Victor Adler, 3466_Engels_Victor Adler, 3402_Engels_Victor Adler, 3392_Engels_Victor Adler, 3391_Engels_Victor Adler, 3300_Engels_Victor Adler",,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Aeliau,,,Aeliau,,,,,,,,Person,,,,,,,,,,,,0,,,"""1087_Plato, Aristoteles, Tacitus, Aeliau, Thucydides ;""",1,1,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Aeschylus,,,Aeschylus,,,,,,,,Person,,,,,,,,,,,,0,,,,0,0,,,,,,152_Aeschylus_Prometheus vinctus,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Aesop,,,Aesop,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,1255_Aesop_The Lion and the Gnat,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Afghanistan,,,Afghanistan,,,,,,,,Country,,,,,,,,,,,,0,,57_33_2188,,0,0,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,1,,,,,
Agriculture/Agronomy,,,Agriculture/Agronomy,,,,,,,,Concept,,,,,,,,,,,,0,,"74_11_4268,75_42_4401,76_12_4425,78_39_4648",,0,0,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,4,,,,,
Aikin_John,,,Aikin,John,,,,,,,Person,,,,,,,,,,,,0,,,2171_A Description of the Country from Thirty to Forty Miles Round Manchester,1,1,,,,,,"""554_Aikin_John_A Description of the Country from Thirty to Forty Miles round Manchester, London, 1795""",,,45_52,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Aischines,,,Aischines,,,,,,,,Person,,,,,,,,,,,,0,,,,0,0,"""7_[Aeschines Orator] Aeschines der Redner. Übers, von J. H. Bremi. Bdch. 1-3.""",,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Akselrod_Pavel Borisovic,,,Akselrod,Pavel Borisovic,,,,,,,Person,,,,,,,,,,,,0,,,,0,0,9_[Рабочее движение и социальная демократа!.] Ч. 1. Господство капитала иборьба противъ него.,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Albemarle_G.,,,Albemarle,G.,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,"""1094_Albemarle_G._[Speech in the House of Lords, July 1, 1853.] In: The Times, No. 21470, July 2, 1853""",,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Albert_Prince,,,Albert,Prince,Married Queen Victoria in 1840 and became Prince Albert. He was instrumental in developing cultural and scientific institutions in England,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Alberti_E.,,,Alberti,E.,,,,,,,Person,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,"128_Alberti_E._Sokrates. Ein Versuch über ihn nach den Quellen,227_Alberti_E._Sokrates. Ein Versuch über ihn nach den Quellen",,,
Alexander_Emperor,,,Alexander,Emperor,,,,,,,Person,,,,,,,,,,,,0,,,"""1228_Correspondence between... Castlereagh... and the Emperor Alexander, ...""",1,3,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Alexander_Richard Dykes,,,Alexander,Richard Dykes,,,,,,,Person,,,,,,,,,,,,0,,,,0,0,"""10_The rise and progress of British opium smuggling: the illegality of the East India Company's monopoly of the drug; and its injurious effects upon India, China, and the commerce of Great Britain. Five letters addressed to the Right Honourable the Earl of Shaftesbury. 3. ed. rev. and enl.""",,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Alexander_William,,,Alexander,William,,,,,,,Person,,,,,,,,,,,,0,,,611_The history of women...,1,2,,,,,,876_Alexander_William_The history of women...,,,52_58,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Alexander II_Czar,,,Alexander II,Czar,"Czar of russia from 1855 to 1881. He ended serfdom in 1861 and allowed some modernization of Russia's economy and political life, but his government was repressive and accused of neglecting the vast majority of its citizens. He was assassinated in 1881",,,,,,Person,,1881,,,,,,,,,81_13_4857,1,,,,0,0,,,,,,,,,,,,,,,,,,0.0001,0,0.0000,,,,,,,,,,,0,,,,,
Alexis_W.,,,Alexis,W.,,,,,,,Person,,,,,,,,,,,,0,,,,0,0,,,,,,"""556_Alexis_W._Cabanis. Roman in 6 Büchern. Berlin, 1832""",,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Alfred,,,Alfred,,,"[Some sources say this = John Bleckley, including MEGA IV/8 apparat...]",,,,,Person,NA,NA,British,British,,,,,,,,0,,,"205_A letter to the Hon. the Secret Committee of the House of Commons upon Joint-Stock-Banks (2 ed.),889_A letter to the Hon. the Secret Committee of the House of Commons upon Joint-Stock-Banks (2 ed.),2143_A letter to the Hon. the Secret Committee of the House of Commons upon Joint-Stock-Banks (2 ed.)",3,3,,,,,,6_Alfred_A letter to the Hon. the Secret Committee of the House of Commons upon Joint-Stock-Banks (2 ed.),,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,69_Alfred,,,0,,,,,
Algeria,,,Algeria,,,,,,,,Country,,,,,,,,,,,,0,,57_38_2195,,0,0,,,,,,,,,,"82_14_4979,82_15_4987",,,,,,,,0.0000,0,0.0000,,,,,,,,,,,1,,,,,
Algiers,,,Algiers,,,,,,,,City,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,"82_14_4985,82_14_4986,82_16_4988,82_19_4993",,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Alison,,,Alison,,,,,,,,Person,,,,,,,,,,,,0,55_5_1946,,,0,0,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Alison_Archibald,,,Alison,Archibald,,,,,,,Person,,,British,British,,,,,,,,0,,,"157_The principles of population,175_Freetrade and a Fettered Currency,180_England in 1815 and 1845; or a sufficient and a contracted currency,445_The Principles of Population,789_Free trade and a fettered currency,1512_The Principles of Population,2059_The principles of population,764_Free trade and a fettered currency",8,34,"""11_The principles of population, and their connection with human happiness. In 2 vol.""",C1946,,,"Alison_Archibald_England in 1815 and 1845; or a sufficient and a contracted currency, Alison_Archibald_The principles of population","7_Alison_Archibald_Principles of Population,8_Alison_Archibald_Free Trade and a Fettered Currency,1129_Alison_Archibald_England in 1815 and 1845...",,,"50_50,51_68,51_69",,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Alison_William Pulteney,,,Alison,William Pulteney,,physician,,,,,Person,,,"Scottish,British",British,,,,https://en.wikipedia.org/wiki/William_Alison,,,,0,,,444_Observations on the Management of the Poor in Scotland,1,1,,,,,,"""410_Alison_William Pulteney_Notes on the Report of the Royal Commissioners on the Operation of the Poor Laws in Scotland, 1844. In: Journal of the Statistical Society of London, Vol. VII, London, 1844"",""411_Alison_William Pulteney_Observations on the Management of the Poor in Scotland, and its Effects on the Health of the Great Towns""",,,51_68,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Alisov_Petr Fedoseevic,,,Alisov,Petr Fedoseevic,,,,,,,Person,,,,,,,,,,,,0,81_13_4860,,2511_Alexander II osvoboditel',1,0,12_Александръ II Освободитель. (Переведено на французский и итальянскш языки.) (1879).,,,,,1130_Alisov_Petr Fedoseevic_,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Allen_Grant,,,Allen,Grant,,,,,,,Person,,,,,,,,,,,,0,,,1840_Geology and History,1,6,,,,,,1131_Allen_Grant_Geology and History,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Allen_Sarah,,,Allen,Sarah,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,2846_Engels_Sarah Allen,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Allgemeine Zeitung (AZ),,,Allgemeine Zeitung (AZ),,,,,,,,Newspaper,,,,,,,,,,,60_13_2369,1,,"59_53_7177,59_60_7296,59_65_7191,59_71_7315,59_71_7197,61_21_7339,61_26_7378",,0,0,,,,,,,,,,,"59_44_7265,59_49_7276,59_60_7295,59_65_7303,60_12_2361,60_61_7621",,,,,,,0.0001,1,0.0002,,,,,,,,,,,7,,,,,
Allsop_Thomas,,,Allsop,Thomas,,,,,,,Person,,,,,,,,,,,"72_54_6812,71_28_3948,78_21_4613",3,,,,0,0,,,,,,,,,,,,"2205_Marx_Thomas Allsop, 2317_Marx_Thomas Allsop, 2319_Engels_Thomas Allsop, 2365_Marx_Thomas Allsop, 2411_Marx_Thomas Allsop, 2413_Marx_Thomas Allsop, 2420_Marx_Thomas Allsop, 2494_Engels_Thomas Allsop",,,,78_1,,0.0004,3,0.0007,,,,,,,,,,,0,,,,,
Almanacco Repubblicano,,,Almanacco Repubblicano,,,,,,,,Newspaper,,,,,,,,,,,,0,,"72_39_7108,72_61_7414,73_9_4150",,0,0,,,,,,,,,,,73_58_4248,,,,,,,0.0000,0,0.0000,,,,,,,,,,,3,,,,,
Almon_John,,,Almon,John,,,,,,,,,,,,,,,,,,,0,,,"""1290_Political Speculations; or: An Attempt to discover the Causes of the Dearness..., II""",1,1,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Amelot de La Houssaye_Abraham Nicolas,,,Amelot de La Houssaye,Abraham Nicolas,,,,,,,Person,,,,,,,,,,,,0,,,,0,0,16_Histoire du gouvernement de Venise. Avec le suplement et l'examen de la liberté originaire de Venise.,,,,,"""1044_Amelot de La Houssaye_Abraham Nicolas_le rédacteur du journal """"La Patrie"""" [le 6 mars 1851]. In: La Patrie, No. 66, March 7, 1851""",,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Ampère,,,Ampère,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,"Unnamed record,Unnamed record",0,,,,,
Amsterdam,,,Amsterdam,,,,,,,,City,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,61_18_7386,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Anchialum,,,Anchialum,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,Unnamed record,0,,,,,
Ancient Rome,,,Ancient Rome,,,,,,,,Country,,,,,,,,,,,,0,,79_52_4750,,0,0,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,1,,,,,
Ancillon,,,Ancillon,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,"Unnamed record,Unnamed record",0,,,,,
Anderson_Adam,,,Anderson,Adam,,,,,,,Person,,,"Scottish,British",British,,,,https://en.wikipedia.org/wiki/Adam_Anderson_(economist),,,,0,,,"825_An historical deduction of the origin of commerce,171_The recent commercial distress or the Panic analysed",2,2,"""19_Historische und chronologische Geschichte des Handels von den ältesten bis auf jezzige Zeiten. Aus dem Engl, übers. Theil 1.2.""",,,,,"""637_Anderson_Adam_An Historical and Chronological Deduction of the Origin of Commerce from the Earliest Accounts to the Present Time. Vol. I-IV. London, 1764"",1132_Anderson_Adam_An historial deduction of the origin of commerce,1133_Anderson_Adam_The recent commercial distress...",,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Anderson_George,,,Anderson,George,,,,,,,Person,,,,,,,,,,,,0,,,,0,0,20_The reign of bullionism,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Anderson_James,,,Anderson,James,,,,,,,Person,,,British,British,,,,,,,,0,,,"116_A calm investigation of the circumstances...,418_An Inquiry into the causes that have hitherto retarded the Advancement of Agriculture in Europe,419_Essays relating to Agriculture and rural affairs (3 vol.),1127_Essays relating to Agriculture...,""1128_Recreations on Agriculture..., Bd. IV/VI"",""1129_The Bee, 18 Bde"",1130_Observations on the means...,1316_An Inquiry into the Nature of the Corn-Laws,""1359_A calm Investigation into the Circumstances...,""",9,22,,,,,,"9_Anderson_James_Calm investigation of the circumstances...,836_Anderson_James_An Inquiry into the causes that have hitherto retarted the...,837_Anderson_James_Essays relating to agriculture and rural affairs (3 vol.),1134_Anderson_James_An Inquiry into the Nature of the Corn-Laws,1135_Anderson_James_Observations on the means...,1136_Anderson_James_Recreations on Agriculture,""1137_Anderson_James_The Beed, 18 Bde""",,,"45_51,51_67",,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Andréas_Bert,,,Andréas,Bert,,,,,,,Person,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,ST_2,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Angerstein_Wilhelm,,,Angerstein,Wilhelm,,,,,,,Person,,,,,,,,,,,68_15_3286,1,,,,0,0,,C3286,,,,,,,,,,,,,,,,0.0001,1,0.0002,,,,,,,,,,,0,,,,,
Anglo-Chinese Conflict,,,Anglo-Chinese Conflict,,,,,,,,Event,,,,,,,,,,,,0,,"57_11_2143,57_25_2169,58_35_6736,58_42_2321,58_49_6737,57_4_2128,59_57_7181,59_61_7187",,0,0,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,8,,,,,
Anglo-Persian War,,,Anglo-Persian War,,,,,,,,Event,,,,,,,,,,,,0,,"57_8_2138,57_25_2169,57_4_2128",,0,0,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,3,,,,,
Angus_Earl of,,,Angus,Earl of,"Descendant of one of the oldest family lines in Scotland dating to the tenth century, the first Earl of Angus was titled in 1389. He died in prison after being captured by the English.",,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Anneke_Friedrich,,,Anneke,Friedrich,"Ex-Prussian military officer, journalist, and an early communist agitator in Cologne, later a democrat. He was jailed for six months in 1848 for organizing workers, fought in the 1849 uprising in Baden, and emigrated to the United States, where he joined the Union army during the Civil War.",,,,,,Person,,,,,,,,,,,"48_60_838,48_71_887,48_84_960,49_19_1046,49_19_1049,48_45_778,48_45_779",7,,62_26_2530,,0,0,,"C778,C779,C838,C887,C960,C1046,C1049",C2530,,,"""781_Anneke_Friedrich_Der Politische Tendenz-Prozess gegen Gottschalk, Anneke und Esser [Köln]""",,,,,,,,,,,,0.0009,4,0.0009,,,,,,,,,,,1,,,,,
Anneke_Mathilde,,,Anneke,Mathilde,,,,,,,Person,,,,,,,,,,,48_66_866,1,,,,0,0,,C866,,,,,,,,,,,,,,,,0.0001,0,0.0000,,,,,,,,,,,0,,,,,
Annenkov_Pavel Vasilyevich,Pavel Annenkov,['Annenkov'],Annenkov,Pavel Vasilyevich,Wealthy Russian liberal journalist and friend of Marx,writer,,,,,Person,1813,1887,Russian,Russian,,,,,,,"46_11_461,46_14_464,46_15_465,46_39_513,46_43_519,46_48_527,46_49_528,47_50_625,48_27_6602,46_11_7597",10,80_31_4803,,2508_Vestnik Evropy,1,0,,"C461,C460,C464,C465,C513,C519,C528,C527,C625,C6602",,,,1138_Annenkov_Pavel Vasilyevich_Vestnik Evropy,,,,,,"35_Marx_Pavel Vasilyevich Annenkov, 50_Marx_Pavel Vasilyevich Annenkov",,,,80_2,,0.0013,10,0.0022,,18,,,,,,,,,0,,,,,
Anonymous,,,Anonymous,,,,,,,,,,,,,,,,,,,,0,,,"1305_A Defense of the Land-Owners...,""1282_A Letter to Sir T.C. Bunbury, Bart. On the poor Rates..."",1294_A Political Enquiry into the Consequences of Enclosing Waste Lands,1375_A Prize Essay on the Comparative Merits...,""835_A second enquiry into the reasons of the conduct of Great Britain, with Relations to the Present State of Affairs in Europe..."",1306_Address to the two Houses of Parl. on the Importance of the Corn Laws...,1268_An Essay on the Inequality of our present Taxes",7,12,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,Unnamed record,0,,,,,
Anseele,,,Anseele,,,,,,,,Person,,,,,,,,,,,95_37_6454,1,,,,0,0,,,,,,,,,,,,,,,,,,0.0001,0,0.0000,,,,,,,,,,,0,,,,,
Anstey_Th.,,,Anstey,Th.,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,"""1095_Anstey_Th._[Speech in the House of Commons] February 8, 1848. In: Hansard's Parliamentary Debates. 3d series, Vol. XCVI, London, 1848"",""1096_Anstey_Th._[Speech in the House of Commons] February 23, 1848. In: Hansard's Parliamentary Debates. 3d series, Vol. XCVI, London, 1848""",,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Anthing_Johann Friedrich,,,Anthing,Johann Friedrich,,,,,,,Person,,,,,,,,,,,,0,,,,0,0,"""27_Histoire des campagnes du comte Alexandre Suworow Rymnikski, Général-Feld-Maréchal au service de sa Majesté l'Empereur de toutes les Russies. Avec portrait. Trad, de l'allemand et du russe. T. 1.2.""",,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Anti-Socialist Law,,,Anti-Socialist Law,,,,,,,,Event,,,,,,,,,,,,0,,"83_23_5144,83_5_5093,82_50_5067,82_44_5057,82_44_5056,82_24_5007,78_19_4608,78_32_4630,78_32_4631,78_37_4642,79_16_4680,80_39_4816,80_39_4817,82_4_4963,82_28_5014,83_30_5165",,0,0,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,16,,,,,
Antipater,,,Antipater,,,,,,,,Person,,,,,,,,,,,,0,59_25_7235,,,0,0,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Antoine_G.,,,Antoine,G.,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,"""1097_Antoine_G._A. M. le rédacteur du journal la """"Patrie"""". In: La Patrie, No. 66, March 7, 1851""",,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Apocalypse,,,Apocalypse,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,Unnamed record,0,,,,,
Apollon,,,Apollon,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,Unnamed record,0,,,,,
